crossover_type,crossover_rate,mutation_type,mutation_rate,mutation_std_dev,selection_type,selection_size,distance,case_study,CA_size,population_size,input_locations,input_order,input_percentage,steps,sort_rules,chromosome_evol,input_loc_evol,output_loc_evol,growth_rate_mean_fitness_training,growth_rate_mean_fitness_control,growth_rate_best_fitness_training,growth_rate_best_fitness_control
single_point,0.29412515846560083,gaussian,,9.606942805673999,tournament,5,euclidean,number_plus_one,20,9,random,random,0.08225724211943264,26,big_average_low_std,no,no,no,0.0012131682242413936,9.043204538326035e-05,0.0,-0.0011050916311393874
none,0.24882724118835586,gaussian,,6.138552523393576,tournament,4,manhattan,number_divided_by_two,25,12,random,random,0.02016790236567445,27,equal_behaviour,no,no,no,0.0010507927976350442,0.0012297170443878237,0.0,-0.0011224489795918359
none,0.087208599012915,gaussian,,9.778897673071034,tournament,2,euclidean,number_plus_one,15,8,random,random,0.8110587130478891,22,random,no,no,no,0.0003707731768122674,0.00020690702156740706,0.0,0.0
single_point,0.7985679151251114,bit_flip,0.7359729924668035,,roulette,,hamming,number_divided_by_two,25,19,random,ordered,0.6146155622953289,12,different_behaviour,no,no,no,0.00018814294282812867,2.710760120057647e-05,-3.792907102246186e-05,-0.00013291172979014874
none,0.8995121104282751,bit_flip,0.8994637668461207,,tournament,8,euclidean,number_plus_one,15,15,evenly_distributed,ordered,0.6484575631893346,10,random,yes,no,no,0.0004164957770477854,0.0011964511930501528,5.970602522671005e-05,0.0006926454247128993
uniform,0.9830074959352776,bit_flip,0.5736639050192844,,roulette,,hamming,number_divided_by_two,15,9,evenly_distributed,ordered,0.4800856149767274,29,random,yes,no,no,0.0007094457388367567,0.0006038155413866065,0.00024952015355086417,-0.00011207335710646837
none,0.5868443295646543,bit_flip,0.3727057076712965,,tournament,6,euclidean,number_divided_by_two,20,9,evenly_distributed,random,0.6599698018370062,10,different_behaviour,no,yes,yes,0.0003205602011123949,-0.00024046439873900933,-4.590212025629184e-05,-0.0007955274314999372
single_point,0.23227985525693007,bit_flip,0.5052518509956571,,tournament,7,euclidean,number_plus_one,25,18,random,ordered,0.28895983821479676,16,equal_behaviour,no,no,no,0.0011454998946066005,0.0008569825210633225,0.0,0.0
none,0.08395303075586702,bit_flip,0.6015634278415347,,roulette,,hamming,number_plus_one,20,8,evenly_distributed,random,0.4240222290923401,25,big_average_big_std,no,yes,no,0.0002981054041894281,-0.0006106716472570124,-0.0005929108282437298,-0.0017100660707345516
none,0.7481121359358364,bit_flip,0.485805488679255,,tournament,2,euclidean,number_divided_by_two,15,10,evenly_distributed,random,0.2168521612151112,29,big_average_low_std,yes,no,no,0.0009530629472263666,-0.0012166106144755023,-0.0005667526606627528,-0.003356331131470306
